Название;Артикул;Цвет;Наличие;Цена;Остаток;Группа
Лента репсовая 25мм 043 27.43м (30ярд);043-25лр;малиновый;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 053 27.43м (30ярд);053-25лр;оранжевый;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 054 27.43м (30ярд);054-25лр;оранжевый;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 057 27.43м (30ярд);057-25лр;красный;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 058 27.43м (30ярд);058-25лр;т.красный;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 078 27.43м (30ярд);078-25лр;сиреневый;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 080 27.43м (30ярд);080-25лр;яр.сиреневый;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 084 27.43м (30ярд);084-25лр;фиолетовый;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 090 27.43м (30ярд);090-25лр;голубой;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 091 27.43м (30ярд);091-25лр;серый;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 092 27.43м (30ярд);092-25лр;св.серый;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 095 27.43м (30ярд);095-25лр;т.серый;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 125 27.43м (30ярд);125-25лр;т.зеленый;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 129 27.43м (30ярд);129-25лр;бежевый;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 130 27.43м (30ярд);130-25лр;бежевый;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 134 27.43м (30ярд);134-25лр;св.коричневый;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 144 27.43м (30ярд);144-25лр;т.шоколад;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 146 27.43м (30ярд);146-25лр;зеленый;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 166 27.43м (30ярд);166-25лр;яр.голубой;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 167 27.43м (30ярд);167-25лр;яр.голубая бирюза;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм 175 27.43м (30ярд);175-25лр;т.синий;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 25мм ис99 27.43м (30ярд);ис99-25лр;фиолетовый;нет;113,90p.;0;Лента репсовая однотонная
Лента репсовая 38мм 003 27.43м (30ярд);003-38лрб;молочный;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 008 27.43м (30ярд);008-38лр;кремовый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 012 27.43м (30ярд);012-38лрб;св.бежевый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 013 27.43м (30ярд);013-38лр;бежевый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 025 27.43м (30ярд);025-38лр;желток;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 026 27.43м (30ярд);026-38лр;оранжевый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 028 27.43м (30ярд);028-38лр;кремовый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 030 27.43м (30ярд);030-38лр;серо-бежевый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 031 27.43м (30ярд);031-38лр;какао;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 035 27.43м (30ярд);035-38лр;розовый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 037 27.43м (30ярд);037-38лр;розовый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 038 27.43м (30ярд);038-38лр;розовый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 043 27.43м (30ярд);043-38лр;малиновый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 048 27.43м (30ярд);048-38лр;свекольный;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 053 27.43м (30ярд);053-38лр;апельсин;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 054 27.43м (30ярд);054-38лр;оранжевый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 055 27.43м (30ярд);055-38лр;красный;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 058 27.43м (30ярд);058-38лр;т.красный;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 061 27.43м (30ярд);061-38лр;малиновый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 065 27.43м (30ярд);065-38лр;розовый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 071 27.43м (30ярд);071-38лр;розовый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 076 27.43м (30ярд);076-38лр;сиреневый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 078 27.43м (30ярд);078-38лр;сиреневый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 080 27.43м (30ярд);080-38лр;яр.сиреневый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 090 27.43м (30ярд);090-38лр;голубой;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 091 27.43м (30ярд);091-38лр;серый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 093 27.43м (30ярд);093-38лр;серый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 094 27.43м (30ярд);094-38лр;серый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 095 27.43м (30ярд);095-38лр;стальной;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 096 27.43м (30ярд);096-38лр;серо-голубой;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 100 27.43м (30ярд);100-38лр;салатовый неон;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 125 27.43м (30ярд);125-38лр;т.зеленый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 129 27.43м (30ярд);129-38лр;бежевый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 130 27.43м (30ярд);130-38лр;бежевый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 134 27.43м (30ярд);134-38лр;св.коричневый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 140 27.43м (30ярд);140-38лр;коричневый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 142 27.43м (30ярд);142-38лр;коричневый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 148 27.43м (30ярд);148-38лр;св.оливковый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 151 27.43м (30ярд);151-38лр;зеленый;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 164 27.43м (30ярд);164-38лр;яр.голубой;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 166 27.43м (30ярд);166-38лр;яр.голубой;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 170 27.43м (30ярд);170-38лр;яр.синий;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 173 27.43м (30ярд);173-38лр;ультрамарин;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая 38мм 175 27.43м (30ярд);175-38лр;т.синий;нет;173,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 001 22.86м (25ярд) белый_золото;001-25рбз;белый/золото;нет;123,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 001 22.86м (25ярд) белый_серебро;001-25рбс;белый/серебро;нет;123,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 022 22.86м (25ярд) желтый_серебро;022-25ржс;желтый/серебро;нет;123,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 033 22.86м (25ярд) бл.розовый_золото;033-25ржз;бл.розовый/золото;нет;123,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 037 22.86м (25ярд) розовый_золото;037-25ррз;розовый/золото;нет;123,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 048 22.86м (25ярд) вишня_золото;048-25рвз;вишня/золото;нет;123,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 048 22.86м (25ярд) вишня_серебро;048-25рвс;вишня/серебро;нет;123,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 057 22.86м (25ярд) красный_серебро;057-25ркс;красный/серебро;нет;123,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 080 22.86м (25ярд) сиреневый_золото;080-25рсз;сиреневый/золото;нет;123,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 080 22.86м (25ярд) сиреневый_серебро;080-25рсс;сиреневый/серебро;нет;123,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 120 22.86м (25ярд) зеленый_серебро;120-25рзс;зеленый/серебро;нет;123,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 163 22.86м (25ярд) голубой_серебро;163-25ргс;голубой/серебро;нет;123,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 164 22.86м (25ярд) голубой_золото;164-25ргз;голубой/золото;нет;123,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 167 22.86м (25ярд) бирюзовый_золото;167-25рбз;бирюзовый/золото;нет;123,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 173 22.86м (25ярд) т.синий_золото;173-25рбз;т.синий/золото;нет;123,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 175 22.86м (25ярд) т.синий_серебро;175-25ртсс;т.синий/серебро;нет;123,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 176 22.86м (25ярд) черный_серебро;176-25рчс;черный/серебро;нет;123,00p.;0;Лента репсовая однотонная
Лента репсовая с люрексом 25мм 037 22.86м (25ярд) розовый_серебро;037-25ррс;розовый/серебро;да;123,00p.;4.0;Лента репсовая однотонная
Лента репсовая Friday 25мм 22м белый-черный 3968067;3968067;;да;266,80p.;3.0;Лента репсовая с рисунком
Лента репсовая Nice 25мм 22м черный-белый 3968068;3968068;;да;147,20p.;3.0;Лента репсовая с рисунком
Лента репсовая Арбузик 25мм 22.86м SF-7481 126-725;126-725;;да;255,06p.;3.0;Лента репсовая с рисунком
Лента репсовая Ассорти 40мм 22.86м SF-7479 126-712;126-712;;да;380,25p.;2.0;Лента репсовая с рисунком
Лента репсовая Ассорти 40мм 22.86м SF-7479 126-716;126-716;;да;380,25p.;3.0;Лента репсовая с рисунком
Лента репсовая Белочка 25мм 22.86м SF-7481 126-721;126-721;;да;255,06p.;1.0;Лента репсовая с рисунком
Лента репсовая Клубничка 25мм 23м белый Одеон;лрк25бел;;да;258,00p.;2.0;Лента репсовая с рисунком
Лента репсовая Клубничка 25мм 23м розовый 04 Одеон;лрк25-04;;да;258,00p.;2.0;Лента репсовая с рисунком
Лента репсовая Клубничка 25мм 23м сиреневый 140 Одеон;лрк25-140;;да;258,00p.;2.0;Лента репсовая с рисунком
Лента репсовая Триколор двухсторонняя 20мм 23м 7480982;7480982;;да;202,40p.;7.0;Лента репсовая с рисунком
Лента репсовая Цветочек 15мм 23м желтый 132 Одеон;лрц15-132;;да;210,00p.;2.0;Лента репсовая с рисунком
Лента репсовая Цветочки 40мм 22.86м SF-7482 126-731;126-731;;да;380,25p.;1.0;Лента репсовая с рисунком
Лента репсовая Love 20мм 22м белый-черный 3968060;3968060;;нет;101,48p.;0;Лента репсовая с рисунком
Лента репсовая Love 20мм 22м белый-черный 3968062;3968062;;нет;111,91p.;0;Лента репсовая с рисунком
Лента репсовая Love 25мм 22м черный-белый 3968069;3968069;;нет;134,75p.;0;Лента репсовая с рисунком
Лента репсовая Nice 20мм 22м белый-черный 3968059;3968059;;нет;169,05p.;0;Лента репсовая с рисунком
Лента репсовая Nice 25мм 22м белый-черный 3968063;3968063;;нет;149,50p.;0;Лента репсовая с рисунком
Лента репсовая Smile 20мм 22м белый-черный 3968061;3968061;;нет;106,88p.;0;Лента репсовая с рисунком
Лента репсовая Smile 25мм 22м белый-черный 3968065;3968065;;нет;141,00p.;0;Лента репсовая с рисунком
Лента репсовая Smile 25мм 22м белый-черный 3968070;3968070;;нет;139,60p.;0;Лента репсовая с рисунком
Лента репсовая Style 25мм 22м белый-черный 3968066;3968066;;нет;241,50p.;0;Лента репсовая с рисунком
Лента репсовая Style 25мм 22м белый-черный 5354503;5354503;;нет;132,43p.;0;Лента репсовая с рисунком
Лента репсовая Клубничка 25мм 23м желтый 132 Одеон;лрк25-132;;нет;258,00p.;0;Лента репсовая с рисунком
Лента Липучка 100мм 25м белая;л100б-25;;да;1500,00p.;1.0;Контактная лента (липучка)
Лента Липучка 20мм 25м белая;лип20Б-25;;да;393,25p.;5.0;Контактная лента (липучка)
Лента Липучка 25мм 25м белая;липБ-25;;да;393,25p.;4.0;Контактная лента (липучка)
Лента Липучка 50мм 25м белая;л50б-25;;да;816,75p.;3.0;Контактная лента (липучка)
Лента Липучка 50мм 25м черная;л50ч-25;;да;786,50p.;4.0;Контактная лента (липучка)
Лента Липучка BLITZ 25мм LB-25 25м белый;LB-25б;;да;370,18p.;1.0;Контактная лента (липучка)
Липучка 100мм LG-100 (ТА) 25м белая;LG-100б;;да;1724,80p.;3.0;Контактная лента (липучка)
Липучка 16мм LG-16 25м черный;LG-16ч;;да;292,16p.;2.0;Контактная лента (липучка)
Липучка 25мм LG-25 (ТА) 25м белый;LG-25б;белый;да;495,76p.;2.0;Контактная лента (липучка)
Липучка 30мм BLITZ LG-30 (ТА) 25м 093 хаки;LG-30-093;;да;654,04p.;1.0;Контактная лента (липучка)
Липучка 30мм BLITZ LG-30 (ТА) 25м 107 коричневый;LG-30-107;;да;551,60p.;3.0;Контактная лента (липучка)
Липучка 30мм BLITZ LG-30 (ТА) 25м 114 т.синий;LG-30-114;;да;551,60p.;2.0;Контактная лента (липучка)
Липучка 30мм BLITZ LG-30 (ТА) 25м черный;LG-30ч;;да;507,13p.;2.0;Контактная лента (липучка)
Липучка 40мм LG-40 (ТА) 25м 093 хаки;LG-40-093;;да;795,20p.;3.0;Контактная лента (липучка)
Липучка 40мм LG-40 (ТА) 25м 115 т.синий;LG-40-115;;да;695,80p.;3.0;Контактная лента (липучка)
Липучка 40мм LG-40 (ТА) 25м белый;LG-40б;;да;731,25p.;1.0;Контактная лента (липучка)
Липучка 40мм LG-40 (ТА) 25м черный;LG-40ч;;да;819,00p.;2.0;Контактная лента (липучка)
Липучка 50мм BLITZ LG-50 (ТА) 25м 114 т.синий;LG-50-114;;да;804,30p.;2.0;Контактная лента (липучка)
Липучка 50мм BLITZ LG-50B (ТА) 25м белый;LG-50б;;да;829,90p.;3.0;Контактная лента (липучка)
Липучка Гамма фасовка 20мм 25см 026 красный;20-25-026;;да;14,62p.;6.0;Контактная лента (липучка)
Липучка Гамма фасовка 20мм 25см 034 бежевый;20-25-034;;да;14,11p.;4.0;Контактная лента (липучка)
Липучка Гамма фасовка 20мм 25см 083 синий;20-25-083;;да;13,26p.;9.0;Контактная лента (липучка)
Липучка Гамма фасовка 20мм 25см 093 хаки;20-25-093;;да;14,62p.;2.0;Контактная лента (липучка)
Липучка Гамма фасовка 20мм 25см 099 серый;20-25-099;;да;14,62p.;11.0;Контактная лента (липучка)
Липучка Гамма фасовка 20мм 25см 107 коричневый;20-25-107;;да;14,11p.;10.0;Контактная лента (липучка)
Липучка Гамма фасовка 20мм 25см белый;20-25б;;да;14,62p.;3.0;Контактная лента (липучка)
Липучка Гамма фасовка 20мм 25см черный;20-25ч;;да;14,62p.;17.0;Контактная лента (липучка)
Липучка Гамма фасовка 25мм 25см 034 бежевый;25-25-034;;да;15,31p.;8.0;Контактная лента (липучка)
Липучка Гамма фасовка 25мм 25см 070 т.зеленый;25-25-070;;да;13,35p.;11.0;Контактная лента (липучка)
Липучка Гамма фасовка 25мм 25см 093 хаки;25-25-093;;да;13,35p.;1.0;Контактная лента (липучка)
Липучка Гамма фасовка 25мм 25см 099 серый;25-25-099;;да;14,78p.;2.0;Контактная лента (липучка)
Липучка Гамма фасовка 25мм 25см 107 коричневый;25-25-107;;да;15,31p.;11.0;Контактная лента (липучка)
Липучка Гамма фасовка 25мм 25см 114 т.синий;25-25-114;;да;15,31p.;7.0;Контактная лента (липучка)
Липучка клеевая кружочки d-20мм 120шт белый;153522;;да;90,63p.;142.0;Контактная лента (липучка)
Липучка на клеевой основе 20мм 1м белый 4448347;4448347;;да;82,80p.;9.0;Контактная лента (липучка)
Липучка на клеевой основе 20мм 1м черный 4448348;4448348;;да;78,20p.;4.0;Контактная лента (липучка)
Набор липучек на клеевой основе 4 пары 2см черный 4448350;4448350;;да;27,83p.;1.0;Контактная лента (липучка)
Набор липучек на клеевой основе 4 пары 3см белый 3944580;3944580;;да;52,65p.;2.0;Контактная лента (липучка)
Набор липучек на клеевой основе 4 пары 3см черный 3944581;3944581;;да;44,28p.;4.0;Контактная лента (липучка)
Контактная лента 20мм 20см 302043 черный;302043ч;;нет;54,51p.;0;Контактная лента (липучка)
Контактная лента 22мм 3 пары 302039 черный (Голландия);302039ч;;нет;55,44p.;0;Контактная лента (липучка)
Контактная лента 22мм 3 пары Wellcraft 302039 белый;302039б;;нет;55,44p.;0;Контактная лента (липучка)
Лента Липучка 100мм 25м черная;л100ч-25;;нет;1500,00p.;0;Контактная лента (липучка)
Лента Липучка 20мм 25м черная;лип20Ч-25;;нет;393,25p.;0;Контактная лента (липучка)
Лента Липучка 25мм 25м черная;липЧ-25;;нет;393,25p.;0;Контактная лента (липучка)
Лента Липучка BLITZ 25мм LB-25 25м черный;LB-25ч;;нет;370,18p.;0;Контактная лента (липучка)
Лента липучка клеевая 16мм 25м белый F101;лк16101;;нет;985,76p.;0;Контактная лента (липучка)
Лента липучка клеевая 25мм 25м белый F101;лк101;;нет;1011,67p.;0;Контактная лента (липучка)
Лента липучка клеевая 25мм 25м черный F322;лк322;;нет;948,44p.;0;Контактная лента (липучка)
Липучка 100мм LG-100 (ТА) 25м черный;LG-100ч;;нет;1724,80p.;0;Контактная лента (липучка)
Липучка 16мм LG-16 25м 093 хаки;LG-16-093;;нет;352,02p.;0;Контактная лента (липучка)
Липучка 16мм LG-16 25м 107 коричневый;LG-16-107;;нет;328,42p.;0;Контактная лента (липучка)
Липучка 16мм LG-16 25м белый;LG-16б;;нет;292,16p.;0;Контактная лента (липучка)
Липучка 20мм LG-20 (ТА) 25м белый;LG-20б;белый;нет;343,29p.;0;Контактная лента (липучка)
Липучка 20мм LG-20 (ТА) 25м черный;LG-20ч;черный;нет;343,29p.;0;Контактная лента (липучка)
Липучка 20мм LG-20 (ТА) 5м белый;LG-20-5б;белый;нет;119,90p.;0;Контактная лента (липучка)
Липучка 20мм LG-20 (ТА) 5м черный;LG-20-5ч;черный;нет;83,93p.;0;Контактная лента (липучка)
Липучка 25мм LG-25 (ТА) 25м черный;LG-25ч;черный;нет;501,73p.;0;Контактная лента (липучка)
Липучка 25мм LG-25 (ТА) 5м белый;LG-25-5б;белый;нет;100,50p.;0;Контактная лента (липучка)
Липучка 25мм LG-25 (ТА) 5м черный;LG-25-5ч;черный;нет;93,83p.;0;Контактная лента (липучка)
Липучка 30мм BLITZ LG-30 (ТА) 25м белый;LG-30б;;нет;513,24p.;0;Контактная лента (липучка)
Липучка 50мм BLITZ LG-50 (ТА) 25м 107 коричневый;LG-50-107;;нет;804,30p.;0;Контактная лента (липучка)
Липучка 50мм BLITZ LG-50B (ТА) 25м черный;LG-50ч;;нет;829,90p.;0;Контактная лента (липучка)
Липучка Гамма фасовка 20мм 25см 114 т.синий;20-25-114;;нет;12,75p.;0;Контактная лента (липучка)
Липучка Гамма фасовка 25мм 25см 026 красный;25-25-026;;нет;14,24p.;0;Контактная лента (липучка)
Липучка Гамма фасовка 25мм 25см белый;25-25б;;нет;15,31p.;0;Контактная лента (липучка)
Липучка Гамма фасовка 25мм 25см черный;25-25ч;;нет;15,31p.;0;Контактная лента (липучка)
Липучки 4 пары,  14мм 302040 черный;302040ч;;нет;35,06p.;0;Контактная лента (липучка)
Липучки 4 пары,  14мм Wellcraft 302040 белый;302040б;;нет;35,06p.;0;Контактная лента (липучка)
Набор липучек на клеевой основе 2см 10шт белый 4448351;4448351;;нет;32,90p.;0;Контактная лента (липучка)
Набор липучек на клеевой основе 2см 10шт черный 4448352;4448352;;нет;35,18p.;0;Контактная лента (липучка)
Набор липучек на клеевой основе 4 пары 2см белый 4448349;4448349;;нет;28,75p.;0;Контактная лента (липучка)
Косая бейка атлас. №39 15мм 120 ярд яр.розовый;кб39яроз;;да;332,47p.;3.0;Косая бейка
Косая бейка атлас. №01 15мм 120 ярд белый;кб01бел;;нет;368,28p.;0;Косая бейка
Косая бейка атлас. №03 15мм 120 ярд св.желтый;кб03сж;;нет;257,40p.;0;Косая бейка
Косая бейка атлас. №11 15мм 120 ярд бежевый;кб11беж;;нет;332,47p.;0;Косая бейка
Косая бейка атлас. №117 15мм 120 ярд весна;кб117вес;;нет;332,47p.;0;Косая бейка
Косая бейка атлас. №129 15мм 120 ярд орех;кб129ор;;нет;257,40p.;0;Косая бейка
Косая бейка атлас. №136 15мм 120 ярд кофе;кб136коф;;нет;257,40p.;0;Косая бейка
Косая бейка атлас. №142 15мм 120 ярд шоколад;кб142шок;;нет;265,98p.;0;Косая бейка
Косая бейка атлас. №151 15мм 120 ярд зел.фисташка;кб151зелф;;нет;221,65p.;0;Косая бейка
Косая бейка атлас. №163 15мм 120 ярд голубой;кб151голф;;нет;332,47p.;0;Косая бейка
Косая бейка атлас. №17 15мм 120 ярд канарейка;кб17кан;;нет;265,98p.;0;Косая бейка
Косая бейка атлас. №170 15мм 120 ярд яр.синий;кб170ясин;;нет;221,65p.;0;Косая бейка
Косая бейка атлас. №174 15мм 120 ярд т.синий;кб174тсин;;нет;221,65p.;0;Косая бейка
Косая бейка атлас. №176 15мм 120 ярд черный;кб176ч;;нет;332,47p.;0;Косая бейка
Косая бейка атлас. №23 15мм 120 ярд желтый;кб23жел;;нет;283,14p.;0;Косая бейка
Косая бейка атлас. №24 15мм 120 ярд оран-желтый;кб24оржел;;нет;257,40p.;0;Косая бейка
Косая бейка атлас. №29 15мм 120 ярд персик;кб29пер;;нет;332,47p.;0;Косая бейка
Косая бейка атлас. №30 15мм 120 ярд серо-бежевый;кб30сербеж;;нет;257,40p.;0;Косая бейка
Косая бейка атлас. №33 15мм 120 ярд бл.розовый;кб33броз;;нет;332,47p.;0;Косая бейка
Косая бейка атлас. №41 15мм 120 ярд розово-коралловый;кб41розкор;;нет;221,65p.;0;Косая бейка
Косая бейка атлас. №48 15мм 120 ярд свекольный;кб48свек;;нет;221,65p.;0;Косая бейка
Косая бейка атлас. №56 15мм 120 ярд;кб56;;нет;332,47p.;0;Косая бейка
Косая бейка атлас. №62 15мм 120 ярд бордо;кб62бор;;нет;282,76p.;0;Косая бейка
Косая бейка атлас. №76 15мм 120 ярд сиреневый;кб76сир;;нет;332,47p.;0;Косая бейка
Косая бейка атлас. №81 15мм 120 ярд яр.сирень;кб81ясир;;нет;332,47p.;0;Косая бейка
Лента брючная 1с79 15мм 25м,  черный;1с79ч;черный;да;292,65p.;10.0;Лента брючная, корсаж, паутинка
Лента брючная 4316 Б 16мм 50м,  белый;4316б;белый;да;217,44p.;4.0;Лента брючная, корсаж, паутинка
Паутинка Vliesofix клеевая на бумаге Т10 10мм 5м прозрачный;Т10;;да;225,00p.;4.0;Лента брючная, корсаж, паутинка
Паутинка Vliesofix клеевая на бумаге Т6 6мм 5м прозрачный;Т6п;;да;155,00p.;3.0;Лента брючная, корсаж, паутинка
Паутинка клеевая 15мм 80м белая;15пб;;да;50,05p.;4.0;Лента брючная, корсаж, паутинка
Паутинка клеевая 25мм 80м белая;25пб;;да;71,50p.;9.0;Лента брючная, корсаж, паутинка
Паутинка клеевая 30мм 80м белая;30пб;;да;100,10p.;7.0;Лента брючная, корсаж, паутинка
Паутинка клеевая 50мм 80м белая;50пб;;да;179,40p.;2.0;Лента брючная, корсаж, паутинка
Тесьма брючная клеевая 23мм 1.02м В,  бежевая;тес_бр_беж;бежевая;да;16,57p.;4.0;Лента брючная, корсаж, паутинка
Тесьма брючная клеевая 23мм 1.02м В,  белый;тес_бл;белый;да;16,57p.;5.0;Лента брючная, корсаж, паутинка
Тесьма брючная клеевая 23мм 1.02м В,  серый;тес_ср;серый;да;11,34p.;123.0;Лента брючная, корсаж, паутинка
Тесьма брючная клеевая 23мм 1.02м В,  т.синий;тес_тс;т.синий;да;11,48p.;12.0;Лента брючная, корсаж, паутинка
Клейкая лента двухсторонняя для кожи трансфер 48мм 25м TDK-48;TDK-48;;нет;285,58p.;0;Лента брючная, корсаж, паутинка
Клейкая лента двухсторонняя для кожи трансфер TDK-06 6мм 25м белый;TDK-06б;;нет;42,23p.;0;Лента брючная, корсаж, паутинка
Клейкая лента двухсторонняя для кожи трансфер TDK-12 12мм 25м белый;TDK-12б;;нет;75,30p.;0;Лента брючная, корсаж, паутинка
Клейкая лента двухсторонняя для кожи трансфер TDK-12 12мм 25м прозрачная;TDK-12;;нет;85,74p.;0;Лента брючная, корсаж, паутинка
Клейкая лента двухсторонняя для кожи трансфер TDK-25 25мм 25м белый;TDK-25б;;нет;188,95p.;0;Лента брючная, корсаж, паутинка
Клейкая лента двухсторонняя для кожи трансфер TDK-25 25мм 25м прозрачная;TDK-25;;нет;154,94p.;0;Лента брючная, корсаж, паутинка
Клейкая лента двухсторонняя для кожи трансфер TDK-38 38мм 25м белый;TDK-38б;;нет;202,92p.;0;Лента брючная, корсаж, паутинка
Клейкая лента двухсторонняя для кожи трансфер TDK-48 48мм 25м белый;TDK-48б;;нет;201,00p.;0;Лента брючная, корсаж, паутинка
Клеящаяся лента для ткани Wellcraft 302001;302001;;нет;50,99p.;0;Лента брючная, корсаж, паутинка
Лента брючная 1с79 15мм 25м 430033,  т.коричневый;1с79т.кор;т.коричневый;нет;288,24p.;0;Лента брючная, корсаж, паутинка
Лента брючная 1с79 15мм 25м 432034,  т.бежевый;1с79тбеж;т.бежевый;нет;288,24p.;0;Лента брючная, корсаж, паутинка
Лента брючная 1с79 15мм 25м 886016,  хаки;1с79хак;хаки;нет;338,29p.;0;Лента брючная, корсаж, паутинка
Лента брючная 1с79 15мм 25м,  белый;1с79б;белый;нет;288,24p.;0;Лента брючная, корсаж, паутинка
Лента брючная 4316 Б 16мм 50м,  черный;4316ч;черный;нет;217,44p.;0;Лента брючная, корсаж, паутинка
Паутинка 10мм 100м DF-10 W;DF-10-W;;нет;71,94p.;0;Лента брючная, корсаж, паутинка
Паутинка 10мм 100м DF-10 В;DF-10В_;;нет;104,52p.;0;Лента брючная, корсаж, паутинка
Паутинка 15мм 100м DF-15 W;DF-15W;;нет;88,00p.;0;Лента брючная, корсаж, паутинка
Паутинка 15мм 100м DF-15 В;DF-15B;;нет;132,13p.;0;Лента брючная, корсаж, паутинка
Паутинка 20мм 100м DF-20 W;DF-20W;;нет;107,20p.;0;Лента брючная, корсаж, паутинка
Паутинка 20мм 100м DF-20 В;DF-20В;;нет;164,26p.;0;Лента брючная, корсаж, паутинка
Паутинка 20мм_10м 302049;302049;;нет;70,45p.;0;Лента брючная, корсаж, паутинка
